Elemento,Tipo,Longitud,Nodo_I,Nodo_J,N_I,V_I,M_I,N_J,V_J,M_J
76,Viga_X,5.000,53,54,4.788,-3.018,-6.624,-4.788,3.018,-8.465
77,Viga_X,6.000,54,55,8.762,-0.000,2.813,-8.762,0.000,-2.813
78,Viga_X,5.000,55,56,4.788,3.018,8.465,-4.788,-3.018,6.624
79,Viga_X,5.000,57,58,4.788,3.018,6.624,-4.788,-3.018,8.465
80,Viga_X,6.000,58,59,8.762,-0.000,-2.813,-8.762,0.000,2.813
81,Viga_X,5.000,59,60,4.788,-3.018,-8.465,-4.788,3.018,-6.624
82,Viga_X,5.000,61,62,4.788,2.795,5.343,-4.788,-2.795,8.632
83,Viga_X,6.000,62,63,8.762,-0.000,-4.230,-8.762,0.000,4.230
84,Viga_X,5.000,63,64,4.788,-2.795,-8.632,-4.788,2.795,-5.343
85,Viga_Y,4.000,17,21,0.565,0.000,-1.083,-0.565,-0.000,-1.177
86,Viga_Y,5.000,21,25,-0.000,0.000,-0.235,0.000,-0.000,0.235
87,Viga_Y,4.000,25,29,-0.565,0.000,1.177,0.565,-0.000,1.083
88,Viga_Y,4.000,18,22,0.572,0.000,-1.094,-0.572,-0.000,-1.193
89,Viga_Y,5.000,22,26,-0.000,0.000,-0.160,0.000,-0.000,0.160
90,Viga_Y,4.000,26,30,-0.572,0.000,1.193,0.572,-0.000,1.094
91,Viga_Y,4.000,19,23,-0.572,0.000,1.094,0.572,-0.000,1.193
92,Viga_Y,5.000,23,27,0.000,0.000,0.160,-0.000,-0.000,-0.160
93,Viga_Y,4.000,27,31,0.572,0.000,-1.193,-0.572,-0.000,-1.094
94,Viga_Y,4.000,20,24,-0.565,0.000,1.083,0.565,-0.000,1.177
95,Viga_Y,5.000,24,28,-0.000,0.000,0.235,0.000,-0.000,-0.235
96,Viga_Y,4.000,28,32,0.565,0.000,-1.177,-0.565,-0.000,-1.083
97,Viga_Y,4.000,33,37,0.734,0.000,-0.831,-0.734,-0.000,-2.107
98,Viga_Y,5.000,37,41,0.000,0.000,1.074,-0.000,-0.000,-1.074
99,Viga_Y,4.000,41,45,-0.734,0.000,2.107,0.734,-0.000,0.831
100,Viga_Y,4.000,34,38,0.702,0.000,-1.025,-0.702,-0.000,-1.782
101,Viga_Y,5.000,38,42,-0.000,0.000,0.644,0.000,-0.000,-0.644
102,Viga_Y,4.000,42,46,-0.702,0.000,1.782,0.702,-0.000,1.025
103,Viga_Y,4.000,35,39,-0.702,0.000,1.025,0.702,-0.000,1.782
104,Viga_Y,5.000,39,43,0.000,0.000,-0.644,-0.000,-0.000,0.644
105,Viga_Y,4.000,43,47,0.702,0.000,-1.782,-0.702,-0.000,-1.025
106,Viga_Y,4.000,36,40,-0.734,0.000,0.831,0.734,-0.000,2.107
107,Viga_Y,5.000,40,44,0.000,0.000,-1.074,-0.000,-0.000,1.074
108,Viga_Y,4.000,44,48,0.734,0.000,-2.107,-0.734,-0.000,-0.831
109,Viga_Y,4.000,49,53,-1.688,0.000,5.343,1.688,-0.000,1.408
110,Viga_Y,5.000,53,57,0.000,0.000,5.216,-0.000,-0.000,-5.216
111,Viga_Y,4.000,57,61,1.688,0.000,-1.408,-1.688,-0.000,-5.343
112,Viga_Y,4.000,50,54,-1.670,0.000,4.402,1.670,-0.000,2.277
113,Viga_Y,5.000,54,58,0.000,0.000,3.375,-0.000,-0.000,-3.375
114,Viga_Y,4.000,58,62,1.670,0.000,-2.277,-1.670,-0.000,-4.402
115,Viga_Y,4.000,51,55,1.670,0.000,-4.402,-1.670,-0.000,-2.277
116,Viga_Y,5.000,55,59,-0.000,0.000,-3.375,0.000,-0.000,3.375
117,Viga_Y,4.000,59,63,-1.670,0.000,2.277,1.670,-0.000,4.402
118,Viga_Y,4.000,52,56,1.688,0.000,-5.343,-1.688,-0.000,-1.408
119,Viga_Y,5.000,56,60,0.000,0.000,-5.216,-0.000,-0.000,5.216
120,Viga_Y,4.000,60,64,-1.688,0.000,1.408,1.688,-0.000,5.343
