Element_ID,Type,Location,Axial_Force,Shear_Y,Shear_Z,Torsion,Moment_Y,Moment_Z
1,Column,Inicio,1.0209614091799126,-0.434926199324984,186.29878058500074,52.42825066567213,0.3931579742993705,-1.0769428672815625e-18
1,Column,Centro,0.0,0.0,0.0,0.652389298987476,1.531442113769869,0.0
1,Column,Final,-1.0209614091799126,0.434926199324984,-186.29878058500074,-51.12347206769718,2.6697262532403676,1.0769428672815625e-18
2,Column,Inicio,1.9828624226088043,-0.6009161128475924,344.93819591763065,43.920572010487255,1.3550590001999596,-7.779412843503272e-19
2,Column,Centro,0.0,0.0,0.0,0.9013741692713886,2.9742936339132067,0.0
2,Column,Final,-1.9828624226088043,0.6009161128475924,-344.93819591763065,-42.11782367194448,4.5935282676264535,7.779412843503272e-19
3,Column,Inicio,2.099462689008803,-0.47438198966698064,355.16184433866795,1.3749579905393174,1.4716592677969618,6.860127079379713e-19
3,Column,Centro,0.0,0.0,0.0,0.711572984500471,3.1491940335132043,0.0
3,Column,Final,-2.099462689008803,0.47438198966698064,-355.16184433866795,0.04818797846162459,4.826728799229446,-6.860127079379713e-19
4,Column,Inicio,2.044802187053226,-0.6893272495285139,350.18067820309744,-22.951670392035126,1.4169987493552554,2.22518143568958e-18
4,Column,Centro,0.0,0.0,0.0,1.0339908742927708,3.0672032805798395,0.0
4,Column,Final,-2.044802187053226,0.6893272495285139,-350.18067820309744,25.019652140620668,4.717407811804423,-2.22518143568958e-18
5,Column,Inicio,1.4853972667862374,0.29321524505455443,265.6714347707321,-80.65995356078018,0.8575938025782766,2.0404445304219457e-18
5,Column,Centro,0.0,0.0,0.0,-0.43982286758183164,2.228095900179356,0.0
5,Column,Final,-1.4853972667862374,-0.29321524505455443,-265.6714347707321,79.78030782561652,3.598597997780436,-2.0404445304219457e-18
6,Column,Inicio,0.6718842956349246,0.3393038002118871,127.09808913393394,-54.24843670046887,0.04408082137008407,1.2048013662767808e-18
6,Column,Centro,0.0,0.0,0.0,-0.5089557003178307,1.007826443452387,0.0
6,Column,Final,-0.6718842956349246,-0.3393038002118871,-127.09808913393394,53.23052529983321,1.9715720655346898,-1.2048013662767808e-18
7,Column,Inicio,0.334849653590524,0.24066947623924762,393.2946164722101,53.236340805166314,-0.36177834810464815,-5.462594498323541e-19
7,Column,Centro,0.0,0.0,0.0,-0.3610042143588714,0.502274480385786,0.0
7,Column,Final,-0.334849653590524,-0.24066947623924762,-393.2946164722101,-53.95834923388406,1.3663273088762202,5.462594498323541e-19
8,Column,Inicio,0.5428826217331593,0.41235739753219036,681.6012366223084,43.9009054870365,-0.15374537474177408,-4.2827267836315686e-19
8,Column,Centro,0.0,0.0,0.0,-0.6185360962982855,0.814323932599739,0.0
8,Column,Final,-0.5428826217331593,-0.41235739753219036,-681.6012366223084,-45.137977679633075,1.782393239941252,4.2827267836315686e-19
9,Column,Inicio,0.6010092600699537,0.6144703154362441,698.8256873424207,-0.218507920147191,-0.09561873391281628,-8.555718625988275e-20
9,Column,Centro,0.0,0.0,0.0,-0.9217054731543661,0.9015138901049305,0.0
9,Column,Final,-0.6010092600699537,-0.6144703154362441,-698.8256873424207,-1.6249030261615411,1.8986465141226774,8.555718625988275e-20
10,Column,Inicio,0.5748453250867576,1.1469229412987332,690.4175026183341,-27.04172059153536,-0.12178267091053385,3.2092664871507084e-19
10,Column,Centro,0.0,0.0,0.0,-1.7203844119480998,0.8622679876301365,0.0
10,Column,Final,-0.5748453250867576,-1.1469229412987332,-690.4175026183341,23.60095176763916,1.8463186461708068,-3.2092664871507084e-19
11,Column,Inicio,0.4014772243330573,0.439283408662547,539.2884413117293,-82.44195740495174,-0.29515077585318616,1.8224499236641596e-19
11,Column,Centro,0.0,0.0,0.0,-0.6589251129938205,0.602215836499586,0.0
11,Column,Final,-0.4014772243330573,-0.439283408662547,-539.2884413117293,81.1241071789641,1.4995824488523581,-1.8224499236641596e-19
12,Column,Inicio,0.2699049885194975,0.2744884500787137,280.59674253447594,-55.0480246533404,-0.4267230125011464,1.2852274509146294e-20
12,Column,Centro,0.0,0.0,0.0,-0.41173267511807055,0.4048574827792463,0.0
12,Column,Final,-0.2699049885194975,-0.2744884500787137,-280.59674253447594,54.22455930310426,1.236437978059639,-1.2852274509146294e-20
13,Column,Inicio,-1.5912878219046835,0.26379070567384133,283.37675043977555,54.54074597270659,-2.419091276111349,2.870472797970645e-19
13,Column,Centro,0.0,0.0,0.0,-0.395686058510762,-2.3869317328570254,0.0
13,Column,Final,1.5912878219046835,-0.26379070567384133,-283.37675043977555,-55.33211808972811,-2.354772189602702,-2.870472797970645e-19
14,Column,Inicio,-2.3511400701532423,0.1886633544034737,504.894790058494,45.61378062299011,-3.1789435291411676,3.6705153607841254e-20
14,Column,Centro,0.0,0.0,0.0,-0.28299503160521056,-3.526710105229864,0.0
14,Column,Final,2.3511400701532423,-0.1886633544034737,-504.894790058494,-46.179770686200534,-3.8744766813185603,-3.6705153607841254e-20
15,Column,Inicio,-2.409214858779677,-0.14014306710249658,518.9404449005117,3.18588715789746,-3.2370183125807754,-1.3510158041599326e-18
15,Column,Centro,0.0,0.0,0.0,0.21021460065374487,-3.613822288169516,0.0
15,Column,Final,2.409214858779677,0.14014306710249658,-518.9404449005117,-2.7654579565899704,-3.990626263758257,1.3510158041599326e-18
16,Column,Inicio,-2.3808853588299987,-0.45750381027123055,512.0525423282478,-21.71897532614871,-3.2086887920832403,-2.7296315542361395e-18
16,Column,Centro,0.0,0.0,0.0,0.6862557154068458,-3.5713280382449986,0.0
