Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
49,Columna,56,74,0.0000,15.0000,10.0000,0.0000,15.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
50,Columna,57,75,0.0000,18.0000,10.0000,0.0000,18.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
51,Columna,59,77,5.0000,0.0000,10.0000,5.0000,0.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
52,Columna,60,78,5.0000,5.0000,10.0000,5.0000,5.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
53,Columna,61,79,5.0000,10.0000,10.0000,5.0000,10.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
54,Columna,62,80,5.0000,15.0000,10.0000,5.0000,15.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
55,Columna,63,81,5.0000,18.0000,10.0000,5.0000,18.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
56,Columna,65,83,10.0000,0.0000,10.0000,10.0000,0.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
57,Columna,66,84,10.0000,5.0000,10.0000,10.0000,5.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
58,Columna,67,85,10.0000,10.0000,10.0000,10.0000,10.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
59,Columna,68,86,10.0000,15.0000,10.0000,10.0000,15.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
60,Columna,69,87,10.0000,18.0000,10.0000,10.0000,18.0000,13.0000,3.0000,,,,,,,,,,,,,,,,,,
61,Viga_X,17,23,0.0000,0.0000,4.0000,5.0000,0.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
62,Viga_X,18,24,0.0000,5.0000,4.0000,5.0000,5.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
63,Viga_X,19,25,0.0000,10.0000,4.0000,5.0000,10.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
64,Viga_X,20,26,0.0000,15.0000,4.0000,5.0000,15.0000,4.0000,5.0000,,,,,,,,,,,,,,,,,,
