Elemento,Tipo,Nodo_I,Nodo_J,X_I,Y_I,Z_I,X_J,Y_J,Z_J,Longitud,N_I,Vy_I,Vz_I,T_I,My_I,Mz_I,N_Centro,Vy_Centro,Vz_Centro,T_Centro,My_Centro,Mz_Centro,N_J,Vy_J,Vz_J,T_J,My_J,Mz_J
22,Columna,22,38,5.0000,4.0000,3.0000,5.0000,4.0000,6.0000,3.0000,3.9453,2.6910,540.3565,35.2834,5.4845,-0.0000,0.0000,0.0000,0.0000,-4.0366,5.9180,0.0000,-3.9453,-2.6910,-540.3565,-43.3565,6.3515,0.0000
23,Columna,26,42,5.0000,9.0000,3.0000,5.0000,9.0000,6.0000,3.0000,3.9453,-2.6910,540.3565,-35.2834,5.4845,0.0000,0.0000,0.0000,0.0000,4.0366,5.9180,0.0000,-3.9453,2.6910,-540.3565,43.3565,6.3515,-0.0000
24,Columna,30,46,5.0000,13.0000,3.0000,5.0000,13.0000,6.0000,3.0000,1.8140,-2.7848,286.3522,-36.7373,2.4667,0.0000,0.0000,0.0000,0.0000,4.1773,2.7211,0.0000,-1.8140,2.7848,-286.3522,45.0918,2.9754,-0.0000
25,Columna,19,35,11.0000,0.0000,3.0000,11.0000,0.0000,6.0000,3.0000,-1.8140,2.7848,286.3522,36.7373,-2.4667,0.0000,0.0000,0.0000,0.0000,-4.1773,-2.7211,0.0000,1.8140,-2.7848,-286.3522,-45.0918,-2.9754,-0.0000
26,Columna,23,39,11.0000,4.0000,3.0000,11.0000,4.0000,6.0000,3.0000,-3.9453,2.6910,540.3565,35.2834,-5.4845,0.0000,0.0000,0.0000,0.0000,-4.0366,-5.9180,0.0000,3.9453,-2.6910,-540.3565,-43.3565,-6.3515,-0.0000
27,Columna,27,43,11.0000,9.0000,3.0000,11.0000,9.0000,6.0000,3.0000,-3.9453,-2.6910,540.3565,-35.2834,-5.4845,-0.0000,0.0000,0.0000,0.0000,4.0366,-5.9180,0.0000,3.9453,2.6910,-540.3565,43.3565,-6.3515,0.0000
28,Columna,31,47,11.0000,13.0000,3.0000,11.0000,13.0000,6.0000,3.0000,-1.8140,-2.7848,286.3522,-36.7373,-2.4667,-0.0000,0.0000,0.0000,0.0000,4.1773,-2.7211,0.0000,1.8140,2.7848,-286.3522,45.0918,-2.9754,0.0000
29,Columna,20,36,16.0000,0.0000,3.0000,16.0000,0.0000,6.0000,3.0000,-2.4799,-2.5837,135.8343,38.1354,-3.3772,0.0000,0.0000,0.0000,0.0000,3.8755,-3.7198,0.0000,2.4799,2.5837,-135.8343,-30.3844,-4.0623,-0.0000
30,Columna,24,40,16.0000,4.0000,3.0000,16.0000,4.0000,6.0000,3.0000,-4.6278,-2.6910,268.4569,37.5894,-6.4310,0.0000,0.0000,0.0000,0.0000,4.0365,-6.9416,0.0000,4.6278,2.6910,-268.4569,-29.5165,-7.4523,-0.0000
31,Columna,28,44,16.0000,9.0000,3.0000,16.0000,9.0000,6.0000,3.0000,-4.6278,2.6910,268.4569,-37.5894,-6.4310,-0.0000,0.0000,0.0000,0.0000,-4.0365,-6.9416,0.0000,4.6278,-2.6910,-268.4569,29.5165,-7.4523,0.0000
32,Columna,32,48,16.0000,13.0000,3.0000,16.0000,13.0000,6.0000,3.0000,-2.4799,2.5837,135.8343,-38.1354,-3.3772,-0.0000,0.0000,0.0000,0.0000,-3.8755,-3.7198,0.0000,2.4799,-2.5837,-135.8343,30.3844,-4.0623,0.0000
33,Columna,33,49,0.0000,0.0000,6.0000,0.0000,0.0000,9.0000,3.0000,3.3855,-2.7236,68.0219,20.0833,3.8206,-0.0000,0.0000,0.0000,0.0000,4.0855,5.0782,0.0000,-3.3855,2.7236,-68.0219,-11.9123,6.3359,0.0000
34,Columna,37,53,0.0000,4.0000,6.0000,0.0000,4.0000,9.0000,3.0000,7.1172,-3.0177,133.1002,20.0904,8.7944,-0.0000,0.0000,0.0000,0.0000,4.5265,10.6758,0.0000,-7.1172,3.0177,-133.1002,-11.0373,12.5572,0.0000
35,Columna,41,57,0.0000,9.0000,6.0000,0.0000,9.0000,9.0000,3.0000,7.1172,3.0177,133.1002,-20.0904,8.7944,0.0000,0.0000,0.0000,0.0000,-4.5265,10.6758,0.0000,-7.1172,-3.0177,-133.1002,11.0373,12.5572,-0.0000
36,Columna,45,61,0.0000,13.0000,6.0000,0.0000,13.0000,9.0000,3.0000,3.3855,2.7236,68.0219,-20.0833,3.8206,0.0000,0.0000,0.0000,0.0000,-4.0855,5.0782,0.0000,-3.3855,-2.7236,-68.0219,11.9123,6.3359,-0.0000
37,Columna,34,50,5.0000,0.0000,6.0000,5.0000,0.0000,9.0000,3.0000,2.5402,3.0226,144.5806,20.2250,3.1006,-0.0000,0.0000,0.0000,0.0000,-4.5339,3.8103,0.0000,-2.5402,-3.0226,-144.5806,-29.2928,4.5199,0.0000
38,Columna,38,54,5.0000,4.0000,6.0000,5.0000,4.0000,9.0000,3.0000,6.1752,3.0177,269.7973,19.3646,7.9804,-0.0000,0.0000,0.0000,0.0000,-4.5266,9.2627,0.0000,-6.1752,-3.0177,-269.7973,-28.4178,10.5451,0.0000
39,Columna,42,58,5.0000,9.0000,6.0000,5.0000,9.0000,9.0000,3.0000,6.1752,-3.0177,269.7973,-19.3646,7.9804,0.0000,0.0000,0.0000,0.0000,4.5266,9.2627,0.0000,-6.1752,3.0177,-269.7973,28.4178,10.5451,-0.0000
40,Columna,46,62,5.0000,13.0000,6.0000,5.0000,13.0000,9.0000,3.0000,2.5402,-3.0226,144.5806,-20.2250,3.1006,0.0000,0.0000,0.0000,0.0000,4.5339,3.8103,0.0000,-2.5402,3.0226,-144.5806,29.2928,4.5199,-0.0000
41,Columna,35,51,11.0000,0.0000,6.0000,11.0000,0.0000,9.0000,3.0000,-2.5402,3.0226,144.5806,20.2250,-3.1006,0.0000,0.0000,0.0000,0.0000,-4.5339,-3.8103,0.0000,2.5402,-3.0226,-144.5806,-29.2928,-4.5199,-0.0000
42,Columna,39,55,11.0000,4.0000,6.0000,11.0000,4.0000,9.0000,3.0000,-6.1752,3.0177,269.7973,19.3646,-7.9804,0.0000,0.0000,0.0000,0.0000,-4.5266,-9.2627,0.0000,6.1752,-3.0177,-269.7973,-28.4178,-10.5451,-0.0000
43,Columna,43,59,11.0000,9.0000,6.0000,11.0000,9.0000,9.0000,3.0000,-6.1752,-3.0177,269.7973,-19.3646,-7.9804,-0.0000,0.0000,0.0000,0.0000,4.5266,-9.2627,0.0000,6.1752,3.0177,-269.7973,28.4178,-10.5451,0.0000
44,Columna,47,63,11.0000,13.0000,6.0000,11.0000,13.0000,9.0000,3.0000,-2.5402,-3.0226,144.5806,-20.2250,-3.1006,-0.0000,0.0000,0.0000,0.0000,4.5339,-3.8103,0.0000,2.5402,3.0226,-144.5806,29.2928,-4.5199,0.0000
45,Columna,36,52,16.0000,0.0000,6.0000,16.0000,0.0000,9.0000,3.0000,-3.3855,-2.7236,68.0219,20.0833,-3.8206,0.0000,0.0000,0.0000,0.0000,4.0855,-5.0782,0.0000,3.3855,2.7236,-68.0219,-11.9123,-6.3359,-0.0000
46,Columna,40,56,16.0000,4.0000,6.0000,16.0000,4.0000,9.0000,3.0000,-7.1172,-3.0177,133.1002,20.0904,-8.7944,0.0000,0.0000,0.0000,0.0000,4.5265,-10.6758,0.0000,7.1172,3.0177,-133.1002,-11.0373,-12.5572,-0.0000
47,Columna,44,60,16.0000,9.0000,6.0000,16.0000,9.0000,9.0000,3.0000,-7.1172,3.0177,133.1002,-20.0904,-8.7944,-0.0000,0.0000,0.0000,0.0000,-4.5265,-10.6758,0.0000,7.1172,-3.0177,-133.1002,11.0373,-12.5572,0.0000
48,Columna,48,64,16.0000,13.0000,6.0000,16.0000,13.0000,9.0000,3.0000,-3.3855,2.7236,68.0219,-20.0833,-3.8206,-0.0000,0.0000,0.0000,0.0000,-4.0855,-5.0782,0.0000,3.3855,-2.7236,-68.0219,11.9123,-6.3359,0.0000
49,Viga_X,17,18,0.0000,0.0000,3.0000,5.0000,0.0000,3.0000,5.0000,-1.5088,0.4490,3.9872,0.0000,-3.7054,1.0831,0.0000,0.0000,3.7500,0.0000,-0.5929,1.1225,1.5088,-0.4490,3.5128,-0.0000,2.5196,1.1620
