Nodo,X,Y,Z,Ux_m,Uy_m,Uz_m,Rx_rad,Ry_rad,Rz_rad,Despl_Resultante_m,Rot_Resultante_rad
53,0.000000,4.000000,9.000000,0.000352,0.000000,-0.006576,-0.000000,0.000896,0.000000,0.006585,0.000896
54,5.000000,4.000000,9.000000,0.000184,0.000000,-0.013298,-0.000000,0.000677,0.000000,0.013300,0.000677
55,11.000000,4.000000,9.000000,-0.000184,0.000000,-0.013298,-0.000000,-0.000677,-0.000000,0.013300,0.000677
56,16.000000,4.000000,9.000000,-0.000352,0.000000,-0.006576,-0.000000,-0.000896,-0.000000,0.006585,0.000896
57,0.000000,9.000000,9.000000,0.000352,-0.000000,-0.006576,0.000000,0.000896,-0.000000,0.006585,0.000896
58,5.000000,9.000000,9.000000,0.000184,-0.000000,-0.013298,0.000000,0.000677,-0.000000,0.013300,0.000677
59,11.000000,9.000000,9.000000,-0.000184,-0.000000,-0.013298,0.000000,-0.000677,0.000000,0.013300,0.000677
60,16.000000,9.000000,9.000000,-0.000352,-0.000000,-0.006576,0.000000,-0.000896,0.000000,0.006585,0.000896
61,0.000000,13.000000,9.000000,0.000352,-0.000000,-0.003310,0.000000,0.000557,-0.000000,0.003328,0.000557
62,5.000000,13.000000,9.000000,0.000184,-0.000000,-0.006988,0.000000,0.000351,-0.000000,0.006990,0.000351
63,11.000000,13.000000,9.000000,-0.000184,-0.000000,-0.006988,0.000000,-0.000351,0.000000,0.006990,0.000351
64,16.000000,13.000000,9.000000,-0.000352,-0.000000,-0.003310,0.000000,-0.000557,0.000000,0.003328,0.000557
